,R_s,R_b,slope,intercept
0,10.0,10.0,0.14530465796542197,-2.8670503728765557
1,10.0,60.0,0.1428446047305897,-2.786803843035193
2,10.0,110.0,0.1393467301100386,-2.6651761475239995
3,10.0,160.0,0.14421759725740724,-2.882621746033378
4,10.0,210.0,0.1395438935247068,-2.7209155468415513
5,10.0,260.0,0.15088589431723554,-2.962622950469876
6,10.0,310.0,0.1456771341987574,-2.7582349426555717
7,10.0,360.0,0.14971458664152065,-2.9986145622621456
8,10.0,410.0,0.13673481104574525,-2.7110146046901846
9,10.0,460.0,0.14533578547859705,-2.8797776332300407
10,60.0,10.0,0.14344012660774344,-2.7675697427952812
11,60.0,60.0,0.1413641944171539,-2.7720829653228196
12,60.0,110.0,0.14846739282773586,-2.8233011775550185
13,60.0,160.0,0.1460528912135369,-2.800239302374413
14,60.0,210.0,0.14611882671935955,-2.957263177035818
15,60.0,260.0,0.15080824005596963,-2.9074427615062874
16,60.0,310.0,0.13913613689312135,-2.6996607606094036
17,60.0,360.0,0.1451203024198963,-2.8238169592961864
18,60.0,410.0,0.14289464658017997,-2.758540571639921
19,60.0,460.0,0.14056882665259982,-2.6995081424948792
20,110.0,10.0,0.14589941028658654,-2.8638962374634325
21,110.0,60.0,0.14659521012388524,-2.8587973484377245
22,110.0,110.0,0.14629973224019135,-2.790405231948189
23,110.0,160.0,0.14845104492174224,-2.9381170479347944
24,110.0,210.0,0.1376514323558772,-2.6808833700741084
25,110.0,260.0,0.13702862019348383,-2.6675051057444676
26,110.0,310.0,0.14423866440898764,-2.769379975726543
27,110.0,360.0,0.14642138427410387,-2.893173125194464
28,110.0,410.0,0.1425114422914517,-2.838043098963755
29,110.0,460.0,0.14701756736452226,-2.8758035910786766
30,160.0,10.0,0.15035414105823983,-2.9571279444084784
31,160.0,60.0,0.1542037455930656,-2.9950142665099735
32,160.0,110.0,0.1392185816287473,-2.7563698379526147
33,160.0,160.0,0.1458551981393589,-2.781134602629348
34,160.0,210.0,0.14737206981679518,-2.8351509341098415
35,160.0,260.0,0.13903686407071544,-2.6244513167876296
36,160.0,310.0,0.14432113573353697,-2.7875703148759756
37,160.0,360.0,0.1514325663095971,-2.962021589892215
38,160.0,410.0,0.14444283142095732,-2.7300575572456807
39,160.0,460.0,0.13700688412894108,-2.680776636753877
40,210.0,10.0,0.14250321180043352,-2.7072888713836667
41,210.0,60.0,0.14259206536217917,-2.855745823078867
42,210.0,110.0,0.14184032318122128,-2.720680819973081
43,210.0,160.0,0.15033790346816953,-2.825233087760667
44,210.0,210.0,0.13926456687750044,-2.728691821781091
45,210.0,260.0,0.13595143638174506,-2.616098464712111
46,210.0,310.0,0.1387272406140566,-2.789253107901518
47,210.0,360.0,0.14344197318250765,-2.8900917196703277
48,210.0,410.0,0.1423008098379613,-2.761127545053586
49,210.0,460.0,0.14164286182255942,-2.8350097250690403
50,260.0,10.0,0.15432034697149166,-3.043322118525338
51,260.0,60.0,0.1369508550672496,-2.7338246024634376
52,260.0,110.0,0.14118307038388025,-2.751257575704609
53,260.0,160.0,0.14703292828945821,-2.888161945865579
54,260.0,210.0,0.14309427107010436,-2.8569317645332437
55,260.0,260.0,0.14231175599171994,-2.655900739288603
56,260.0,310.0,0.1398173683155948,-2.7496722356658063
57,260.0,360.0,0.1441156795259732,-2.844134552914327
58,260.0,410.0,0.15101622407517235,-2.898578328058748
59,260.0,460.0,0.14315454731183436,-2.777053462696472
60,310.0,10.0,0.1392150512440905,-2.7779507260952507
61,310.0,60.0,0.14063197799870153,-2.694889952332094
62,310.0,110.0,0.1413953646043411,-2.874299241195954
63,310.0,160.0,0.14474586030410436,-2.793977742867777
64,310.0,210.0,0.14492577957539318,-2.8561399065847897
65,310.0,260.0,0.14539415621242682,-2.797580077639553
66,310.0,310.0,0.15009972858778473,-2.8977636601449914
67,310.0,360.0,0.1477654635387763,-2.888103256842308
68,310.0,410.0,0.13977720651222864,-2.7627362136675138
69,310.0,460.0,0.14639496297355276,-2.8526882162696072
70,360.0,10.0,0.13735319695793874,-2.7051882194199863
