,R_s,R_b,slope,intercept
0,10.0,10.0,0.13685041627552547,0.924336667769325
1,10.0,60.0,0.13839510450571524,0.8116628941042945
2,10.0,110.0,0.13570980482800446,0.7830067891862591
3,10.0,160.0,0.14451496739942957,0.8627207734981304
4,10.0,210.0,0.134240464448453,0.8199866000601067
5,10.0,260.0,0.14820328356126763,0.918707306736182
6,10.0,310.0,0.13574785881456083,0.8850536032248436
7,10.0,360.0,0.14520146343755921,0.9546134542223303
8,10.0,410.0,0.14229916952370394,0.9117547891105714
9,10.0,460.0,0.14307094173739626,0.9424060756832013
10,60.0,10.0,0.1443337087276157,0.7706131572196566
11,60.0,60.0,0.13485814796743903,0.6835526072296421
12,60.0,110.0,0.14205417078172342,0.7797248439431422
13,60.0,160.0,0.13920124605831777,0.7700567175325024
14,60.0,210.0,0.1442172523587799,0.8198631514248116
15,60.0,260.0,0.14518424196833926,0.8382065156902523
16,60.0,310.0,0.1458151617367316,0.924738312163841
17,60.0,360.0,0.14447236862886756,0.8166644371267536
18,60.0,410.0,0.13927002254939458,0.8229914051737739
19,60.0,460.0,0.13712928123203832,0.7666290830321422
20,110.0,10.0,0.1475144305882281,0.7931818925507038
21,110.0,60.0,0.15251087436005356,0.9121146812634887
22,110.0,110.0,0.15012055207131847,0.8462521906579062
23,110.0,160.0,0.14921647230307225,0.7227355036838299
24,110.0,210.0,0.14731430085237576,0.7371622854691222
25,110.0,260.0,0.14984258047967952,0.702044604645735
26,110.0,310.0,0.14090260956330575,0.7781009131314756
27,110.0,360.0,0.14812109373553015,0.743426818857522
28,110.0,410.0,0.14620224694783607,0.7230700427758143
29,110.0,460.0,0.1505151505933892,0.7591688037424723
30,160.0,10.0,0.14243147209585255,0.6395843137797016
31,160.0,60.0,0.150978736792744,0.7162003242442615
32,160.0,110.0,0.15311038721540857,0.7588445745305158
33,160.0,160.0,0.1509921962053949,0.7355699085010429
34,160.0,210.0,0.15971200503452834,0.7511890547286224
35,160.0,260.0,0.15457978721395974,0.7219547015359402
36,160.0,310.0,0.14423331311099571,0.6899362361069798
37,160.0,360.0,0.14959989342275484,0.7609124610134027
38,160.0,410.0,0.15839174739445075,0.6813976464887606
39,160.0,460.0,0.15076802611292128,0.6236703567389446
40,210.0,10.0,0.15818230723247725,0.6665596211150103
41,210.0,60.0,0.15393137005798765,0.616232027077554
42,210.0,110.0,0.1589201279282781,0.6711217006501665
43,210.0,160.0,0.1521267393312529,0.6397470234189689
44,210.0,210.0,0.14567067796785724,0.46487901158363837
45,210.0,260.0,0.15574287301559703,0.6034994450190948
46,210.0,310.0,0.1559236629502031,0.675287665264864
47,210.0,360.0,0.16633574884640828,0.5906233215333899
48,210.0,410.0,0.1740710580186041,0.7652813029419181
49,210.0,460.0,0.16336549926281455,0.6981195758654756
50,260.0,10.0,0.15898433584619104,0.5224908007678657
51,260.0,60.0,0.16030201588517798,0.4411257462012654
52,260.0,110.0,0.16421941364192788,0.6427329469701293
53,260.0,160.0,0.15280135561367475,0.4713901418841331
54,260.0,210.0,0.16444213749152772,0.5667667720704406
55,260.0,260.0,0.16246586524223175,0.5916949865314923
56,260.0,310.0,0.15975232671340242,0.5626399630581836
57,260.0,360.0,0.16254840725990408,0.48753515755685034
58,260.0,410.0,0.16928323943330031,0.5962370215090368
59,260.0,460.0,0.1500078873203916,0.39114776979259985
60,310.0,10.0,0.1625871128819536,0.5612116558836737
61,310.0,60.0,0.15798475268938847,0.39779253318301644
62,310.0,110.0,0.16090249614136978,0.4542569530203026
63,310.0,160.0,0.16899191871830144,0.37072035184249713
64,310.0,210.0,0.15573282682852063,0.4064885129666257
65,310.0,260.0,0.160253095974801,0.4108566726462564
66,310.0,310.0,0.1683737749277025,0.48544989562926877
67,310.0,360.0,0.1629611659859502,0.4999804492573768
68,310.0,410.0,0.16537593018807156,0.3352135901629146
69,310.0,460.0,0.16547705235289134,0.46172517457258283
70,360.0,10.0,0.16061313154287402,0.2522566979333671
71,360.0,60.0,0.1598740762031923,0.4130830224425117
72,360.0,110.0,0.16372798558833815,0.3282796762175624
73,360.0,160.0,0.17327492888666213,0.42345836043318424
74,360.0,210.0,0.17092250816440915,0.3885517013302132
75,360.0,260.0,0.16570126402720214,0.31956641463248325
76,360.0,310.0,0.16424652647321658,0.35947311088330197
77,360.0,360.0,0.1688862347922308,0.3023952965131402
78,360.0,410.0,0.1686202390792505,0.296453223624304
79,360.0,460.0,0.1556845520932246,0.31099843656677856
80,410.0,10.0,0.15935241022347973,0.25516428100092936
81,410.0,60.0,0.16197536417344296,0.31571966690095443
82,410.0,110.0,0.16634006291066497,0.2380839750483876
83,410.0,160.0,0.16848643549990655,0.24620564916358265
84,410.0,210.0,0.14489419993663175,0.23501028950282085
85,410.0,260.0,0.18816510690048027,0.5687758593716201
86,410.0,310.0,0.17184528618420622,0.3106300406460048
87,410.0,360.0,0.16809683162020658,0.30453382382495303
88,410.0,410.0,0.167087318346074,0.23042817264996915
89,410.0,460.0,0.17215759258445434,0.23945924786040743
90,460.0,10.0,0.16686649624151453,0.2719362996421837
91,460.0,60.0,0.17006090660248313,0.24918157652392572
92,460.0,110.0,0.17366429278643106,0.24955118710791532
93,460.0,160.0,0.1717172846238895,0.23795317538215968
94,460.0,210.0,0.1762932908136678,0.21953287778551722
