,R_s,R_b,slope,intercept
0,10.0,10.0,0.12427355822993594,0.617707053174944
1,10.0,60.0,0.12626952544294012,0.7457702767469294
2,10.0,110.0,0.12368372258944431,0.6827907975289085
3,10.0,160.0,0.12111986735795079,0.6084481723984645
4,10.0,210.0,0.12490806587267542,0.6070117757367022
5,10.0,260.0,0.12724064032218904,0.5911961715020295
6,10.0,310.0,0.12261859206952237,0.5835200218507454
7,10.0,360.0,0.12393291315734385,0.7133753989264254
8,10.0,410.0,0.11742570371033711,0.5345847442731049
9,10.0,460.0,0.12341912881290018,0.6961619325781526
10,60.0,10.0,0.12302255739030925,0.5573701957638695
11,60.0,60.0,0.12413527036967677,0.5481960835568624
12,60.0,110.0,0.12419268575982557,0.597553023522931
13,60.0,160.0,0.12318393562408894,0.6007817667422464
14,60.0,210.0,0.12454349094950398,0.7360649442308098
15,60.0,260.0,0.1283193126506789,0.6866304760998226
16,60.0,310.0,0.13024641718309732,0.5728610312989152
17,60.0,360.0,0.12713223340742424,0.5639503287811218
18,60.0,410.0,0.12601534038282702,0.5503422448677632
19,60.0,460.0,0.12950879384599856,0.6278695499320304
20,110.0,10.0,0.1282130813101214,0.5629236497797673
21,110.0,60.0,0.1340954170556142,0.5454206499437593
22,110.0,110.0,0.125745230719613,0.5279423524319167
23,110.0,160.0,0.12638390353059328,0.5398885624739768
24,110.0,210.0,0.12868435157052444,0.5674656243284087
25,110.0,260.0,0.12535256912367984,0.5563838733737468
26,110.0,310.0,0.1293146478896731,0.5584519588751846
27,110.0,360.0,0.13079231913002715,0.416301089616157
28,110.0,410.0,0.12679902792846973,0.46959353226158046
29,110.0,460.0,0.13656657584188966,0.5645400242232251
30,160.0,10.0,0.13445234668507913,0.47481223617128915
31,160.0,60.0,0.13208007496530458,0.4371661729772312
32,160.0,110.0,0.134687573579946,0.44714447061726054
33,160.0,160.0,0.13068089629723237,0.6487372674124647
34,160.0,210.0,0.13371608017606662,0.46815044262231736
35,160.0,260.0,0.12552409189659594,0.42341567595447505
36,160.0,310.0,0.13153907720528116,0.531988782576398
37,160.0,360.0,0.13812238854296652,0.4938683934983679
38,160.0,410.0,0.132435597214983,0.545143846854896
39,160.0,460.0,0.1351242825321631,0.44708490314851945
40,210.0,10.0,0.12659065929462845,0.4126923716047667
41,210.0,60.0,0.13548989135343711,0.46171534793103836
42,210.0,110.0,0.13077070047245123,0.38700849542941773
43,210.0,160.0,0.13192027425314662,0.44707425585660043
44,210.0,210.0,0.12729793761674765,0.4895119397027944
45,210.0,260.0,0.129457014440181,0.25623808840864043
46,210.0,310.0,0.13986368365782834,0.6315373251976756
47,210.0,360.0,0.13343134460046338,0.5059318465460765
48,210.0,410.0,0.1371725706199907,0.4233953739435955
49,210.0,460.0,0.13758418326077934,0.42864351809652657
50,260.0,10.0,0.14201488172448917,0.430015930351084
51,260.0,60.0,0.13580234945004804,0.4131711448265778
52,260.0,110.0,0.12912102407690718,0.29904894212069927
53,260.0,160.0,0.1303790081477018,0.3624205200741929
54,260.0,210.0,0.13789233405746754,0.4662026273129334
55,260.0,260.0,0.13183361376989894,0.30233788582377835
56,260.0,310.0,0.13223354500699885,0.32629433628671367
57,260.0,360.0,0.13345991263240342,0.36731244582932315
58,260.0,410.0,0.12814946876176436,0.30566151781279355
59,260.0,460.0,0.1442044273002884,0.34011059330914434
60,310.0,10.0,0.13724612517731777,0.30069141394622495
61,310.0,60.0,0.13626214903778133,0.2658480655609694
62,310.0,110.0,0.13442733735882637,0.24692889107676955
63,310.0,160.0,0.13844702575504989,0.3401937998630122
64,310.0,210.0,0.13165236043553413,0.24808655777537847
65,310.0,260.0,0.13436613081392026,0.37689030482883035
66,310.0,310.0,0.12876392187644584,0.2959788437309757
67,310.0,360.0,0.13337796746022632,0.2723449645381093
68,310.0,410.0,0.13210012556747117,0.22356844401151013
69,310.0,460.0,0.13496724606207036,0.45337603458567055
70,360.0,10.0,0.1364800700834677,0.24777286604051313
71,360.0,60.0,0.13707679082603696,0.27971731473009587
72,360.0,110.0,0.13038405928376326,0.21809053084777505
73,360.0,160.0,0.1353578646904574,0.28870298457883675
74,360.0,210.0,0.14006130109412782,0.3142596344040463
75,360.0,260.0,0.12648891244361982,0.27070804171730595
76,360.0,310.0,0.1356240299405505,0.3489664777633173
77,360.0,360.0,0.13735343241599265,0.32345425678121037
78,360.0,410.0,0.1351854334156583,0.27899064720373157
79,360.0,460.0,0.1352886825918437,0.2529986332013535
80,410.0,10.0,0.13592986538847357,0.2376779943643575
81,410.0,60.0,0.13443048246040992,0.24126349645697895
82,410.0,110.0,0.1302984158599686,0.13800386782696578
83,410.0,160.0,0.12761235866283316,0.15589502834138852
84,410.0,210.0,0.13242093367236463,0.04666563505942423
85,410.0,260.0,0.14035959813989024,0.2834113012245299
86,410.0,310.0,0.13028935744013917,0.35300814723600166
87,410.0,360.0,0.13976308871398624,0.29017543156031855
88,410.0,410.0,0.14750203593914976,0.3475669623792535
89,410.0,460.0,0.12750199990224256,0.296061825320739
90,460.0,10.0,0.12538507596621815,0.05372987559523658
91,460.0,60.0,0.1309142112235182,0.10013887884975782
92,460.0,110.0,0.131712851883944,0.07443717097089145
93,460.0,160.0,0.1317747010580842,0.17931088380108812
94,460.0,210.0,0.12495861498629915,0.07425997208796191
95,460.0,260.0,0.1347112976578674,0.20854970459634242
96,460.0,310.0,0.1327644709436493,0.1633708779745493
97,460.0,360.0,0.127057802629497,0.30778638240903905
98,460.0,410.0,0.1431965081295957,0.2684562482645694
99,460.0,460.0,0.12052928508721769,0.19885457907476503
