,R_s,R_b,slope,intercept
0,10.0,10.0,2.3797998797575968,0.11190398262806071
1,10.0,60.0,2.330836384663924,0.10991985160904
2,10.0,110.0,2.3057652312985932,0.10995488161811978
3,10.0,160.0,2.287731480309434,0.10931000295832258
4,10.0,210.0,2.3347039662606894,0.11079740975363787
5,10.0,260.0,2.3214058877390267,0.1116414623133013
6,10.0,310.0,2.3311782368839076,0.11128247210158812
7,10.0,360.0,2.350450402332655,0.11240931561296284
8,10.0,410.0,2.3119104434843947,0.11271890749181136
9,10.0,460.0,2.3276336107352775,0.11244427622699232
10,10.0,510.0,2.367733596713153,0.11383671150935659
11,10.0,560.0,2.36247027482476,0.11335885214137292
12,10.0,610.0,2.371768068580238,0.11367066775958573
13,10.0,660.0,2.2945537120903428,0.11197029228342767
14,10.0,710.0,2.3438111799366106,0.11250180970847924
15,10.0,760.0,2.3198131189160898,0.11222347128477643
16,10.0,810.0,2.319924412930516,0.11197454570818538
17,10.0,860.0,2.4307338573289083,0.11492274001063399
18,10.0,910.0,2.296498898679694,0.11038738892085921
19,10.0,960.0,2.3576169370749236,0.1135263508439517
20,60.0,10.0,2.299000159785326,0.11067018630205994
21,60.0,60.0,2.3508215022128294,0.1125492508458347
22,60.0,110.0,2.2841651427735323,0.11136090671670702
23,60.0,160.0,2.324337374690848,0.11200009930598392
24,60.0,210.0,2.320276043757828,0.1117021155356788
25,60.0,260.0,2.2818923001132823,0.1111646537171662
26,60.0,310.0,2.3482380615284746,0.11357416262177077
27,60.0,360.0,2.2965332487652494,0.11237769419878446
28,60.0,410.0,2.296705409921577,0.1122983372955003
29,60.0,460.0,2.3263584245610596,0.11351781093457708
30,60.0,510.0,2.2305737502147074,0.11176208150602214
31,60.0,560.0,2.294281046171157,0.11191802110639978
32,60.0,610.0,2.27687674000895,0.11119068412051179
33,60.0,660.0,2.3587295098797667,0.11460564354507097
34,60.0,710.0,2.299731141251108,0.11196731843064726
35,60.0,760.0,2.3773302252479533,0.11540574521481523
36,60.0,810.0,2.3251095681848835,0.11417946086787037
37,60.0,860.0,2.316800880042584,0.11356357398303435
38,60.0,910.0,2.3069174679992765,0.11211681492030065
39,60.0,960.0,2.3869842640818293,0.11367024988839124
40,110.0,10.0,2.2708242240248246,0.11129392140298054
41,110.0,60.0,2.290883533220709,0.11248552286959289
42,110.0,110.0,2.230339594371529,0.109814936185434
43,110.0,160.0,2.325726521772687,0.11364895591983042
44,110.0,210.0,2.267135623685543,0.11255638476477213
45,110.0,260.0,2.2182678677941694,0.11137103712534367
46,110.0,310.0,2.320632310689757,0.11321495720298103
47,110.0,360.0,2.3283962719617337,0.1145822365579335
48,110.0,410.0,2.27936585729626,0.11402944339903236
49,110.0,460.0,2.29001477876262,0.11474847008300577
50,110.0,510.0,2.3114250387795643,0.11494601968519493
51,110.0,560.0,2.2383285997255826,0.11301441291795832
52,110.0,610.0,2.383953003541586,0.11818167642013028
53,110.0,660.0,2.278449862626459,0.11471240550010219
54,110.0,710.0,2.3049014757298854,0.11564283450055778
55,110.0,760.0,2.2218500532846264,0.11122613599578451
56,110.0,810.0,2.2892674834468223,0.11336305376430718
57,110.0,860.0,2.30684493903079,0.11460265058584829
58,110.0,910.0,2.305690900457209,0.11386924094956835
59,110.0,960.0,2.3112965768180094,0.11492805678893286
60,160.0,10.0,2.2922074804119963,0.11370880658290702
61,160.0,60.0,2.1984574901659815,0.11209279763327781
62,160.0,110.0,2.2873607957565976,0.1150837073853079
63,160.0,160.0,2.3599909780210546,0.11893559773718881
64,160.0,210.0,2.1977904346703694,0.11330168979852502
65,160.0,260.0,2.2763834706515738,0.11472784464898572
66,160.0,310.0,2.263802880863827,0.11465170103090627
67,160.0,360.0,2.3064431879131297,0.11791378278667056
68,160.0,410.0,2.2821997649104544,0.11664144426513173
69,160.0,460.0,2.264801270235197,0.1149665502885001
70,160.0,510.0,2.2490126320095936,0.11553494771438401
71,160.0,560.0,2.248221100251979,0.11616308429266965
72,160.0,610.0,2.176147235315607,0.11241364322196605
73,160.0,660.0,2.249941266623365,0.11526443650033608
74,160.0,710.0,2.1910018254846992,0.11252195549789261
75,160.0,760.0,2.231268202818414,0.11506558219086899
76,160.0,810.0,2.3272848619181223,0.11654470469555374
77,160.0,860.0,2.340353976663552,0.11846211338067202
78,160.0,910.0,2.263043635459283,0.11638418061286537
79,160.0,960.0,2.25534473771268,0.11488834950954803
80,210.0,10.0,2.230979700289312,0.11593913826080464
81,210.0,60.0,2.2891775324094947,0.11715825843041118
82,210.0,110.0,2.197821937965705,0.11471468009272175
83,210.0,160.0,2.1839959977645163,0.1143855917956773
84,210.0,210.0,2.272543982483032,0.11717319275439438
85,210.0,260.0,2.2300740952576286,0.11536096817927963
